Database,LogNumber,Project,GearType,Year,Month,SerialNumber,Date,Station,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank
FLaSH,75,FMWT,MWT,2011,9,1501,9/8/2011,405,Delta Smelt,1/0/1900,6.096,19.1,10490,5.912397636,27,104,,N,48,,0,0,0,,
FLaSH,168,STN,TWNET,2011,8,1086,8/25/2011,418,Delta Smelt,1/0/1900,8.2296,20.8,13250,7.611060107,46,19.9,0.4545,N,42,,0,0,0,,
FLaSH,197,FMWT,MWT,2011,11,2770,11/9/2011,407,Delta Smelt,1/0/1900,12.192,14,15370,8.939325971,66,14.2,0.8445,N,51,,0,0,0,,
FLaSH,214,FMWT,MWT,2011,12,2076,12/16/2011,797,Delta Smelt,1/0/1900,11.5824,9.1,517,0.23395642,17,72.7,2.4489,N,68,,0,0,0,,
FLaSH,461,SKT,KT,2012,2,4425,2/15/2012,704,Delta Smelt,1/0/1900,11.8872,10.5,640,0.29,43,28,1.4267,N,57,,0,0,0,,
FLaSH,607,SKT,KT,2012,4,4963,4/5/2012,411,Delta Smelt,1/0/1900,6.096,12.8,1170,0.56,20,117,3.0327,N,75,,0,0,0,,
FLaSH,608,SKT,KT,2012,4,4964,4/5/2012,411,Delta Smelt,1/0/1900,6.096,12.8,1170,0.56,20,117,3.0301,N,72,,0,0,0,,
FLaSH,639,SKT,KT,2012,4,4915,4/4/2012,706,Delta Smelt,1/0/1900,9.4488,12.5,174,0.07,81,47,1.8383,N,69,,0,0,0,,
FLaSH,650,SKT,KT,2012,4,4927,4/4/2012,715,Delta Smelt,1/0/1900,12.8016,13.4,312,0.14,34,42,2.7536,N,67,,0,0,0,,
FLaSH,715,SKT,KT,2012,4,4914,4/4/2012,704,Delta Smelt,1/0/1900,10.0584,12.5,186,0.08,32,75,2.0355,N,67,,0,0,0,,
FLaSH,1147,SKT,KT,2013,4,6468,4/4/2013,704,Delta Smelt,1/0/1900,10.0584,16.39999962,269,0.116266663,72,14,2.6288,N,69,,0,0,0,0,
FLaSH,1199,STN,TWNET,2013,6,117,6/26/2013,508,Delta Smelt,1/0/1900,14.0208,20.5,7824,4.30947075,40,,0.4925,N,41,,0,0,0,0,
FLaSH,1200,STN,TWNET,2013,6,118,6/26/2013,508,Delta Smelt,1/0/1900,14.0208,20.5,7824,4.30947075,40,,0.4203,N,39,,0,0,0,0,
FLaSH,1208,STN,TWNET,2013,6,138,6/27/2013,606,Delta Smelt,1/0/1900,5.4864,21.39999962,11579,6.578232467,22,,0.4307,N,40,,0,0,0,0,
FLaSH,1220,STN,TWNET,2013,6,121,6/27/2013,610,Delta Smelt,1/0/1900,4.572,21.39999962,7675,4.221136731,30,,0.2255,N,32,,0,0,0,0,
FLaSH,1225,STN,TWNET,2013,6,9,6/10/2013,704,Delta Smelt,1/0/1900,9.144,19.20000076,1466,0.714149189,27,,0.1861,N,31,,0,0,0,0,
FLaSH,1230,STN,TWNET,2013,6,50,6/11/2013,719,Delta Smelt,1/0/1900,11.2776,21,408,0.181581225,28,,0.1458,N,28,,0,0,0,0,
FLaSH,1231,STN,TWNET,2013,6,51,6/11/2013,719,Delta Smelt,1/0/1900,11.2776,21,408,0.181581225,28,,0.2121,N,32,,0,0,0,0,
FLaSH,1238,STN,TWNET,2012,6,5227,6/27/2012,513,Delta Smelt,1/0/1900,15.24,19.79999924,1504,0.733996913,44,21.20000076,0.3353,N,39,,0,0,0,0,
FLaSH,1259,SKT,KT,2012,5,5127,5/3/2012,501,Delta Smelt,1/0/1900,10.3632,17.2,1301,0.628411617,20,62,2.7507,N,69,,0,0,0,0,
FLaSH,1260,SKT,KT,2012,5,5129,5/3/2012,411,Delta Smelt,1/0/1900,2.7432,17.1,4263,2.243137285,27,73,1.7094,N,63,,0,0,0,0,
FLaSH,1261,SKT,KT,2012,5,5134,5/3/2012,609,Delta Smelt,1/0/1900,11.5824,17.9,1538,0.751786255,17,88,2.0334,N,71,,0,0,0,0,
FLaSH,1268,STN,TWNET,2012,6,5235,6/27/2012,513,Delta Smelt,1/0/1900,15.24,19.79999924,1504,0.733996913,44,21.20000076,0.1956,N,31,,0,0,0,0,
FLaSH,1312,STN,TWNET,2013,6,43,6/11/2013,723,Delta Smelt,1/0/1900,11.2776,21.10000038,169,0.07070142,43,,0.1009,N,23,,0,0,0,0,
FLaSH,1329,STN,TWNET,2013,7,153,7/10/2013,519,Delta Smelt,1/0/1900,3.048,21,11517,6.540165672,19,,0.9534,N,53,0.00202,0,0,0,1,1
FLaSH,1332,STN,TWNET,2013,7,159,7/10/2013,519,Delta Smelt,1/0/1900,3.048,21,11517,6.540165672,19,,0.7283,N,47,,0,0,0,0,
FLaSH,1333,STN,TWNET,2013,7,160,7/10/2013,519,Delta Smelt,1/0/1900,3.048,21,11517,6.540165672,19,,0.691,N,46,,0,0,0,0,
FLaSH,1337,STN,TWNET,2013,7,171,7/11/2013,602,Delta Smelt,1/0/1900,1.524,20.39999962,15729,9.166122042,18,,0.4999,N,42,,0,0,0,0,
FLaSH,1338,STN,TWNET,2013,7,172,7/11/2013,602,Delta Smelt,1/0/1900,1.524,20.39999962,15729,9.166122042,18,,0.503,N,42,,0,0,0,0,
FLaSH,1339,STN,TWNET,2013,7,173,7/11/2013,602,Delta Smelt,1/0/1900,1.524,20.39999962,15729,9.166122042,18,,0.5018,N,43,,0,0,0,0,
FLaSH,1340,STN,TWNET,2013,7,175,7/11/2013,602,Delta Smelt,1/0/1900,1.524,20.39999962,15729,9.166122042,18,,1.2122,N,57,,0,0,0,0,
FLaSH,1367,STN,TWNET,2013,7,239,7/25/2013,602,Delta Smelt,1/0/1900,1.2192,19.89999962,17766,10.4626731,10,,0.6167,N,45,,0,0,0,0,
FLaSH,1369,STN,TWNET,2013,7,241,7/25/2013,602,Delta Smelt,1/0/1900,1.2192,19.89999962,17766,10.4626731,10,,0.2372,N,34,,0,0,0,0,
FLaSH,1370,STN,TWNET,2013,7,208,7/23/2013,704,Delta Smelt,1/0/1900,8.8392,23.20000076,333,0.14610189,63,,0.4283,N,42,,0,0,0,0,
FLaSH,1383,STN,TWNET,2012,6,5213,6/25/2012,797,Delta Smelt,1/0/1900,9.7536,20.39999962,732,0.339467723,33,33.79999924,0.3137,N,37,,0,0,0,0,
FLaSH,1396,STN,TWNET,2012,6,5185,6/13/2012,513,Delta Smelt,1/0/1900,15.24,20,1930,0.958821325,36,31.60000038,0.114,N,29,,0,0,0,0,
FLaSH,1414,STN,TWNET,2012,8,5348,8/23/2012,610,Delta Smelt,1/0/1900,4.572,19.89999962,6550,3.558994091,30,25.89999962,0.1645,N,28,,0,0,0,0,
FLaSH,1450,FMWT,MWT,2013,11,679,11/13/2013,703,Delta Smelt,1/0/1900,10.3632,14.30000019,2329,1.172755842,49.00000095,17.89999962,1.6951,N,63,,0,0,0,0,
FLaSH,1502,SKT,KT,2014,3,501,3/12/2014,706,Delta Smelt,1/0/1900,10.0584,13.69999981,211,0.089657051,38,30,2.1,N,69,,0,0,0,0,
FLaSH,1628,STN,TWNET,2014,6,57,6/3/2014,704,Delta Smelt,1/0/1900,8.8392,21.39999962,1544,0.75492853,48,20.79999924,0.0909,N,24,,0,0,0,0,
FLaSH,1633,STN,TWNET,2014,6,112,6/16/2014,704,Delta Smelt,1/0/1900,7.62,21.5,3310,1.709683142,41,24.60000038,0.218,N,32,,0,0,0,0,
FLaSH,1634,STN,TWNET,2014,6,115,6/16/2014,704,Delta Smelt,1/0/1900,7.62,21.5,3310,1.709683142,41,24.60000038,0.1141,N,26,,0,0,0,0,
FLaSH,1639,STN,TWNET,2014,6,95,6/16/2014,706,Delta Smelt,1/0/1900,8.8392,20.89999962,4215,2.216029473,36,46.59999847,0.1468,N,28,,0,0,0,0,
FLaSH,1640,STN,TWNET,2014,6,97,6/16/2014,706,Delta Smelt,1/0/1900,8.8392,20.89999962,4215,2.216029473,36,46.59999847,0.1133,N,26,,0,0,0,0,
FLaSH,1647,STN,TWNET,2014,6,108,6/16/2014,706,Delta Smelt,1/0/1900,8.8392,20.89999962,4215,2.216029473,36,46.59999847,0.1751,N,28,,0,0,0,0,
FLaSH,1648,STN,TWNET,2014,6,80,6/16/2014,707,Delta Smelt,1/0/1900,7.3152,20.39999962,3398,1.758497325,37,29.60000038,0.1101,N,26,,0,0,0,0,
FLaSH,1649,STN,TWNET,2014,6,84,6/16/2014,707,Delta Smelt,1/0/1900,7.3152,20.39999962,3398,1.758497325,37,29.60000038,0.2521,N,35,,0,0,0,0,
FLaSH,1656,STN,TWNET,2014,6,7,6/2/2014,719,Delta Smelt,1/0/1900,10.3632,21.39999962,424,0.189213104,39,34.79999924,0.1797,N,31,,0,0,0,0,
FLaSH,1657,STN,TWNET,2014,6,8,6/2/2014,719,Delta Smelt,1/0/1900,10.3632,21.39999962,424,0.189213104,39,34.79999924,0.121,N,27,,0,0,0,0,
FLaSH,1674,STN,TWNET,2014,7,175,7/31/2014,602,Delta Smelt,1/0/1900,1.2192,21.10000038,18512,10.94148514,21,266,0.4734,N,42,,0,0,0,0,
FLaSH,1675,STN,TWNET,2014,7,176,7/31/2014,602,Delta Smelt,1/0/1900,1.2192,21.10000038,18512,10.94148514,21,266,0.9917,N,53,,0,0,0,0,
FLaSH,1676,STN,TWNET,2014,7,178,7/31/2014,602,Delta Smelt,1/0/1900,1.2192,21.10000038,18512,10.94148514,21,266,1.4803,N,61,,0,0,0,0,
FLaSH,1677,STN,TWNET,2014,7,179,7/31/2014,602,Delta Smelt,1/0/1900,1.2192,21.10000038,18512,10.94148514,21,266,0.6141,N,46,,0,0,0,0,
FLaSH,1810,SKT,KT,2014,12,7072,12/17/2014,704,Delta Smelt,1/0/1900,10.3632,11.5,165,0.07,12,197,1.1768,N,58,,0,0,0,0,
FLaSH,1925,GES,FMWTCC,2014,8,33,8/21/2014,704/705,Delta Smelt,1/0/1900,,21.8,1245,0.6,0.6,15.6,0.6815,N,44,,0,0,0,0,
FLaSH,1927,GES,FMWTCC,2014,8,35,8/21/2014,704/705,Delta Smelt,1/0/1900,,21.8,1245,0.6,0.6,15.6,1.0364,N,52,,0,0,0,0,
FLaSH,1928,GES,FMWTCC,2014,8,36,8/21/2014,704,Delta Smelt,1/0/1900,7.3152,22.6,1214,0.58,0.66,13.2,0.3505,N,38,,0,0,0,0,
FLaSH,1928,GES,FMWTCC,2014,8,36,8/21/2014,704,Delta Smelt,1/0/1900,,22,4398,2.32,0.59,17.9,0.3505,N,38,,0,0,0,0,
FLaSH,1928,GES,MWTCC,2014,8,36,8/21/2014,704,Delta Smelt,1/0/1900,9.144,23.4,2071,1.03,0.54,16.7,0.3505,N,38,,0,0,0,0,
FLaSH,1928,GES,MWTCC,2014,8,36,8/21/2014,704,Delta Smelt,1/0/1900,9.7536,23.4,3175,1.63,0.57,20,0.3505,N,38,,0,0,0,0,
FLaSH,1934,GES,FMWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,7.3152,22.6,1214,0.58,0.66,13.2,1.0031,N,52,,0,0,0,0,
FLaSH,1934,GES,FMWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,,22,4398,2.32,0.59,17.9,1.0031,N,52,,0,0,0,0,
FLaSH,1934,GES,MWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,9.144,23.4,2071,1.03,0.54,16.7,1.0031,N,52,,0,0,0,0,
FLaSH,1934,GES,MWTCC,2014,8,49,8/21/2014,704,Delta Smelt,1/0/1900,9.7536,23.4,3175,1.63,0.57,20,1.0031,N,52,,0,0,0,0,
FLaSH,1974,GES,FMWTCC,2014,8,177,8/21/2014,797,Delta Smelt,1/0/1900,9.144,23.3,541,0.25,0.45,28.2,0.7422,N,44,,0,0,0,0,
FLaSH,1991,GES,FMWTCC,2014,8,229,8/21/2014,797,Delta Smelt,1/0/1900,9.144,23.3,541,0.25,0.45,28.2,1.1469,N,52,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,9.144,20.8,2777,1.42,0.62,14,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,8.2296,21,2639,1.34,0.48,23.3,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,FMWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,7.3152,21.5,1515,0.74,0.53,23.4,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,MWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,6.4008,20.9,3134,1.61,0.47,24.4,1.0804,N,54,,0,0,0,0,
FLaSH,2010,GES,MWTCC,2014,9,266,9/25/2014,705,Delta Smelt,1/0/1900,9.4488,21.3,1975,0.98,0.42,30.6,1.0804,N,54,,0,0,0,0,
FLaSH,2109,STN,TWNET,2017,8,7348,8/22/2017,602,Delta Smelt,1/0/1900,1.524,19.6,10907,6.17,16,166,1.5419,N,65,,0,0,0,0,
FLaSH,2129,FMWT,MWT,2017,10,7361,10/10/2017,701,Delta Smelt,1/0/1900,12.192,17.5,1529,0.747074511,37.00000048,29.9,0.4965,N,42,,0,0,0,0,
FLaSH,2129,FMWT,MWT,2017,10,7361,10/10/2017,701,Delta Smelt,1/0/1900,12.192,17.5,1529,0.75,37,29.9,0.4965,N,42,,0,0,0,0,
FLaSH,2250,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.71025,N,63.2,,0,0,0,0,
FLaSH,2252,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.67681,N,61.5,,0,0,0,0,
FLaSH,2255,SKT,KT,2016,12,,12/8/2016,706,Delta Smelt,1/0/1900,7.0104,9.5,244,0.1,56,22,1.34281,N,59.1,,0,0,0,0,
