Database,LogNumber,Project,GearType,Year,Month,SerialNumber,Date,Station,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberOfPrey,TotalPreyWeight,GutFullness,FullnessRank,DigestionRank,Acanthocyclops spp,Bosmina spp,Chironomid larvae,Copepod nauplii,Corophium type,Cyclopoid copepodid,Daphnia spp,Diaptomus spp,Eurytemora copepodid,Eurytemora spp,Gammarus type,Hyperacanthomysis longirostris,Limnoithona copepodid,Nippoleucon hinumensis,Osphranticum,Other cladocera,Other cyclopoid,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Sinocalanus spp,Unid cladocera
FLaSH,2563,SKT,KT,2022,2,S301,2/18/2022 0:00,609,Delta Smelt,12/30/1899 8:35:00,8.83,11.2,3427,1.77,30,38.9,4.8,Y,85,0.02,45,2.00E-03,0.04,3,3,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FLaSH,2564,SKT,KT,2022,2,S302,2/18/2022 0:00,606,Delta Smelt,12/30/1899 9:20:00,7.01,11.8,3893,2.03,28,56.4,3,Y,74,0.03,94,3.41E-03,0.11,3,3,40,0,0,0,0,72,128,0,0,0,0,0,0,0,0,0,0,68,68,0,0
FLaSH,2565,SKT,KT,2022,2,S301,2/18/2022 0:00,606,Delta Smelt,12/30/1899 9:20:00,7.01,11.8,3893,2.03,28,56.4,2.4,Y,73,0.02,246,6.45E-03,0.26,4,3,92,0,0,0,0,472,228,0,72,48,0,0,4,0,0,4,4,0,0,0,60
FLaSH,2566,SKT,KT,2022,2,S304,2/18/2022 0:00,606,Delta Smelt,12/30/1899 9:20:00,7.01,11.8,3893,2.03,28,56.4,1.92,Y,68,0.01,183,5.60E-03,0.29,4,2,148,0,0,0,0,164,84,0,108,228,0,0,0,0,0,0,0,0,0,0,0
FLaSH,2567,SKT,KT,2022,2,S305,2/18/2022 0:00,606,Delta Smelt,12/30/1899 9:20:00,7.01,11.8,3893,2.03,28,56.4,1.53,Y,63,0.01,58,2.35E-03,0.15,3,3,28,0,0,4,0,32,92,0,4,20,0,0,0,4,0,0,0,0,0,0,48
FLaSH,2568,SKT,KT,2022,3,S306,3/16/2022 0:00,704,Delta Smelt,12/30/1899 7:58:00,9.14,13.2,340,0.14,70,18.5,2.88,Y,72,4.85E-03,3,8.69E-05,3.02E-03,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
FLaSH,2569,SKT,KT,2022,3,S307,3/16/2022 0:00,719,Delta Smelt,12/30/1899 11:06:00,9.44,13.7,348,0.15,31,44.1,3.48,Y,80,0.01,126,4.61E-03,0.13,3,2,0,2,0,0,0,0,0,0,24,208,0,0,0,0,0,6,0,0,2,4,0
FLaSH,2570,SKT,KT,2022,3,S308,3/16/2022 0:00,719,Delta Smelt,12/30/1899 11:06:00,9.44,13.7,348,0.15,31,44.1,1.71,Y,61,,134,5.28E-03,0.3,3,2,4,0,0,0,0,0,0,0,12,244,0,0,0,0,0,0,2,0,4,2,0
FLaSH,2571,SKT,KT,2022,3,S309,3/17/2022 0:00,609,Delta Smelt,12/30/1899 8:49:00,7.92,14.5,2163,1.08,34,56.7,3.32,Y,76,0.02,27,1.33E-03,0.04,3,3,0,0,4,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,20
FLaSH,2572,SKT,KT,2022,3,S310,3/17/2022 0:00,609,Delta Smelt,12/30/1899 8:49:00,7.92,14.5,2163,1.08,34,56.7,3.51,Y,79,0.02,26,1.22E-03,0.03,3,3,0,0,0,0,0,0,88,0,0,4,0,0,0,0,0,0,0,0,0,0,12
FLaSH,2573,SKT,KT,2022,3,S311,3/17/2022 0:00,609,Delta Smelt,12/30/1899 8:49:00,7.92,14.5,2163,1.08,34,56.7,4.08,Y,77,0.02,60,3.15E-03,0.07,3,3,0,0,0,0,4,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,68
FLaSH,2574,SKT,KT,2022,3,S312,3/17/2022 0:00,609,Delta Smelt,12/30/1899 8:49:00,7.92,14.5,2163,1.08,34,56.7,2.76,Y,71,0.03,48,2.60E-03,0.09,3,3,0,0,0,0,4,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,16
FLaSH,2575,SKT,KT,2022,3,S313,3/17/2022 0:00,606,Delta Smelt,12/30/1899 9:28:00,7.31,14,3608,1.87,28,67.6,3.18,Y,71,0.02,55,2.73E-03,0.08,2,3,0,0,0,0,0,4,212,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FLaSH,2576,SKT,KT,2022,3,S314,3/17/2022 0:00,606,Delta Smelt,12/30/1899 9:28:00,7.31,14,3608,1.87,28,67.6,1.98,Y,69,0.02,108,4.86E-03,0.24,4,2,8,0,0,0,0,52,360,0,0,0,0,0,0,0,0,0,0,0,0,0,12
FLaSH,2577,SKT,KT,2022,3,S315,3/17/2022 0:00,606,Delta Smelt,12/30/1899 9:28:00,7.31,14,3608,1.87,28,67.6,3.19,Y,70,0.02,87,3.87E-03,0.12,3,3,8,0,0,0,0,4,264,0,0,12,0,0,0,0,0,0,0,0,0,0,60
FLaSH,2578,SKT,KT,2022,3,S316,3/17/2022 0:00,606,Delta Smelt,12/30/1899 9:28:00,7.31,14,3608,1.87,28,67.6,5.19,Y,83,0.08,146,6.93E-03,0.13,4,3,4,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,0,0,60
FLaSH,2579,SKT,KT,2022,4,S317,4/13/2022 0:00,719,Delta Smelt,12/30/1899 11:39:00,10.05,15.8,421,0.18,76,13.3,3.67,Y,75,0.02,496,0.02,0.58,3,3,0,0,0,0,0,0,0,1,10,426,0,0,0,0,0,1,0,0,0,57,1
FLaSH,2580,SKT,KT,2022,4,S318,4/14/2022 0:00,606,Delta Smelt,12/30/1899 9:53:00,7.31,15.3,4435,2.34,25,49.3,2.27,Y,68,0.02,8,0.01,0.61,2,3,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
